review,rating,source,review_clean,language,sentiment_score,sentiment_label
"Jimbaran bay is one of those places that if you go to bali you have to experience, whether for the sunset,the beach dining with great choices or the release of the lanterns at night and the added fireworks thrown in.This place is romantic and just enjoyable to sit and take in.
A Must do",,digital_tourism,jimbaran bay is one of those places that if you go to bali you have to experience whether for the sunset the beach dining with great choices or the release of the lanterns at night and the added fireworks thrown in this place is romantic and just enjoyable to sit and take in a must do,en,0.698053777217865,positive
nice place for family and friends to visit..place is well maintained..the monkeys are amazing here😉😋,,digital_tourism,nice place for family and friends to visit place is well maintained the monkeys are amazing here,en,0.9103444218635559,positive
"It is very beautiful, there are plenty small shops to choose from. Prices are reasonable. There are bathrooms everywhere. The view is beautiful and could be amazing but keep in mind that most tours bring their tourists there at the end of the day and as a result it is REALLY overcrowded. It is like an uninterrupted flow of travelers arriving on the site every minute from 4pm. It makes for very nice pictures if you are willing to walk a bit away from the tourists' favorite spots. Professional photographers are on site to take and print your pictures in a 'Tanah Lott' frame, which was very nice and not pricey at all. A good souvenir to bring home. There is a possibility to buy tickets for a Kechak performance after sunset, but considering the crowd it must be packed with tourists.",,digital_tourism,it is very beautiful there are plenty small shops to choose from prices are reasonable there are bathrooms everywhere the view is beautiful and could be amazing but keep in mind that most tours bring their tourists there at the end of the day and as a result it is really overcrowded it is like an uninterrupted flow of travelers arriving on the site every minute from 4pm it makes for very nice pictures if you are willing to walk a bit away from the tourists favorite spots professional photographers are on site to take and print your pictures in a tanah lott frame which was very nice and not pricey at all a good souvenir to bring home there is a possibility to buy tickets for a kechak performance after sunset but considering the crowd it must be packed with tourists,en,0.6869603991508484,positive
"A truly incredible beach with Crystal clear water and Mt. Agung as a backdrop. We were at the Sofitel Nusa Dua hotel, so we were also supplied with cold refresher towels regularly. The beach is very clean too.",,digital_tourism,a truly incredible beach with crystal clear water and mt agung as a backdrop we were at the sofitel nusa dua hotel so we were also supplied with cold refresher towels regularly the beach is very clean too,en,0.7023680806159973,positive
It was good to see some animals up close. Friendly staff.. The restaurant offered good dishes at the time. Only a few spots in the zoo need some tidying.,,digital_tourism,it was good to see some animals up close friendly staff the restaurant offered good dishes at the time only a few spots in the zoo need some tidying,en,0.7104809880256653,positive
"I’m glad we went here during our trip to Bali, but I’m also glad we didn’t stay long. The monkeys are very cute and are very used to people. They’ll walk right up to you! The park says there’s over a 1,000 there so you’re guaranteed to see at least a dozen of them. It’s full of tourists though, which ended up being quite annoying as people are trying to get selfies with the monkey, hold the monkeys, etc.",,digital_tourism,i m glad we went here during our trip to bali but i m also glad we didn t stay long the monkeys are very cute and are very used to people they ll walk right up to you the park says there s over a there so you re guaranteed to see at least a dozen of them it s full of tourists though which ended up being quite annoying as people are trying to get selfies with the monkey hold the monkeys etc,en,-0.6236421465873718,negative
"Very nice temple.. hard to get sunny shot as always cloudy there, we managed to have dry weather for most of the day.. prepare for lots, lots of tourists..",,digital_tourism,very nice temple hard to get sunny shot as always cloudy there we managed to have dry weather for most of the day prepare for lots lots of tourists,en,0.445212721824646,positive
"If you are in the area you really should do the monkey forest. I'm no big fan of monkeys, but there are some amazing Banyan trees that really are worth the very small entry fee into the park. They are considered sacred by the balinese; it is said that the Banyan tree holds the spirits of the dead. As such they are some of the biggest trees in Bali as they are never ever cut down. Strikingly beautiful and look as if they are straight out of middle earth.",,digital_tourism,if you are in the area you really should do the monkey forest i m no big fan of monkeys but there are some amazing banyan trees that really are worth the very small entry fee into the park they are considered sacred by the balinese it is said that the banyan tree holds the spirits of the dead as such they are some of the biggest trees in bali as they are never ever cut down strikingly beautiful and look as if they are straight out of middle earth,en,0.511073112487793,positive
A local told us Nusa Dua is the most beautiful beach in Bali. It is definitely better than most beaches we have seen here but it is not a WOW one. All the resorts all located at Nusa Dua beach so it is quite crowded. The water is full of sea grass and other stuff... All in all it is a lovely long beach.,,digital_tourism,a local told us nusa dua is the most beautiful beach in bali it is definitely better than most beaches we have seen here but it is not a wow one all the resorts all located at nusa dua beach so it is quite crowded the water is full of sea grass and other stuff all in all it is a lovely long beach,en,0.5356587767601013,positive
"Our family got lucky and visited during Low Tide. We were able to capture amazing images on our walk-up & wading out to Tanah Lot Temple itself. What an amazing experience to look out & see how nature and man's vision combined to form this landmark. Would like to take more time but the tide was on its way in ... Make sure you take photos from the first temple on your right as you enter as it provides perfect views of Tanah Lot, the swell and the beach. Don't miss this on your trip !",,digital_tourism,our family got lucky and visited during low tide we were able to capture amazing images on our walk up wading out to tanah lot temple itself what an amazing experience to look out see how nature and man s vision combined to form this landmark would like to take more time but the tide was on its way in make sure you take photos from the first temple on your right as you enter as it provides perfect views of tanah lot the swell and the beach don t miss this on your trip,en,0.6669451594352722,positive
"Cleaned daily and great waves, no hassle from local sellers either, great variety of restaurants. Very safe",,digital_tourism,cleaned daily and great waves no hassle from local sellers either great variety of restaurants very safe,en,0.7379302978515625,positive
"Visited in June 2017. I was expecting more than just loose monkeys chasing tourists for banana. Too many tourists felt very commercial and you have to pay 50.000 rhupias, which is just silly when you think you can see other monkeys in the area for free. There was nothing special about this place and I won't be returning. Save you rhupias for a good foot massage😉",,digital_tourism,visited in june i was expecting more than just loose monkeys chasing tourists for banana too many tourists felt very commercial and you have to pay rhupias which is just silly when you think you can see other monkeys in the area for free there was nothing special about this place and i won t be returning save you rhupias for a good foot massage,en,-0.6421725749969482,negative
"We visited on a rainy day, but had a great time with the monkeys... the place looks amazing, with the walk in the middle of the jungle and the temple. Monkeys are funny and always trying to steal something from you... but very chilled out... you can get close to them and they don’t care, as long as you don’t try to touch them or make eye contact...",,digital_tourism,we visited on a rainy day but had a great time with the monkeys the place looks amazing with the walk in the middle of the jungle and the temple monkeys are funny and always trying to steal something from you but very chilled out you can get close to them and they don t care as long as you don t try to touch them or make eye contact,en,0.44938480854034424,positive
"Loads of monkeys all over the places, from little babies to old ones. Watch your things as they have a tendency to steal your stuff! We left our things at the entrance but saw a lady have a bag taken off with her with pills and make up wrapped in plastic so careful what you take out. A few temples in the forest which are worth seeing. i wouldn't come back but glad I saw it once.",,digital_tourism,loads of monkeys all over the places from little babies to old ones watch your things as they have a tendency to steal your stuff we left our things at the entrance but saw a lady have a bag taken off with her with pills and make up wrapped in plastic so careful what you take out a few temples in the forest which are worth seeing i wouldn t come back but glad i saw it once,en,-0.5223484635353088,negative
"Perfect accommodation for couples or solo travelers, with amazing service, incredible views and top service! The free pick up service from the yellow bridge was also very helpful.Totally recommended for solo travelers or even group of friends as well because they have a few 2-bedroom units.",5.0,bali_hotel,perfect accommodation for couples or solo travelers with amazing service incredible views and top service the free pick up service from the yellow bridge was also very helpful totally recommended for solo travelers or even group of friends as well because they have a few bedroom units,en,0.8133856654167175,positive
The temple is beautiful situated on a rock. The nature (sea and beach) around the temple is amazing.,,digital_tourism,the temple is beautiful situated on a rock the nature sea and beach around the temple is amazing,en,0.8604606986045837,positive
Lovely sunset... but waves are just too high to enjoy a swim. You can simply walk down the beach romantic view. But most beaches are dirty since waves are high... drafts more garbage to the shore.,,digital_tourism,lovely sunset but waves are just too high to enjoy a swim you can simply walk down the beach romantic view but most beaches are dirty since waves are high drafts more garbage to the shore,en,-0.8536673784255981,negative
"It’s not often to find the perfect horseshoe beach with inviting warm blue waters to swim in well this is it .
The beach is outlined by hand end resort properties. Stayed at the Laguna Resort & Spa , loved it!",,digital_tourism,it s not often to find the perfect horseshoe beach with inviting warm blue waters to swim in well this is it the beach is outlined by hand end resort properties stayed at the laguna resort spa loved it,en,0.6644681692123413,positive
